user_id,age,sex
1,45_54,
2,18_24,0.0
3,65_inf,0.0
4,18_24,0.0
5,35_44,0.0
6,55_64,0.0
7,18_24,0.0
8,45_54,0.0
9,18_24,1.0
10,18_24,0.0
11,55_64,0.0
12,55_64,1.0
13,25_34,0.0
14,25_34,1.0
16,45_54,0.0
17,35_44,1.0
18,55_64,0.0
19,18_24,0.0
20,65_inf,0.0
21,18_24,0.0
23,35_44,
24,25_34,0.0
25,25_34,0.0
26,55_64,0.0
27,45_54,1.0
28,18_24,1.0
29,18_24,0.0
30,18_24,0.0
31,45_54,
32,18_24,0.0
33,45_54,
34,25_34,1.0
35,45_54,0.0
36,65_inf,1.0
37,55_64,0.0
38,35_44,0.0
39,18_24,0.0
40,35_44,1.0
43,25_34,0.0
44,35_44,1.0
45,25_34,0.0
46,25_34,1.0
47,18_24,0.0
48,18_24,0.0
49,18_24,0.0
50,45_54,0.0
51,18_24,0.0
53,25_34,0.0
54,35_44,0.0
55,45_54,1.0
56,18_24,0.0
57,25_34,0.0
58,18_24,0.0
59,18_24,0.0
61,35_44,0.0
62,18_24,1.0
63,18_24,1.0
65,25_34,0.0
66,25_34,0.0
68,18_24,0.0
69,18_24,1.0
70,55_64,0.0
71,55_64,0.0
72,18_24,1.0
73,25_34,1.0
74,18_24,1.0
76,25_34,1.0
77,25_34,0.0
78,18_24,0.0
79,18_24,0.0
80,45_54,1.0
81,25_34,0.0
82,18_24,0.0
83,35_44,0.0
84,18_24,0.0
85,18_24,0.0
86,25_34,1.0
87,18_24,1.0
88,55_64,0.0
89,25_34,1.0
90,18_24,0.0
91,18_24,0.0
92,18_24,1.0
93,25_34,0.0
94,55_64,0.0
95,45_54,0.0
97,18_24,0.0
98,65_inf,0.0
99,25_34,1.0
100,18_24,0.0
101,65_inf,0.0
102,25_34,0.0
104,55_64,0.0
105,35_44,
106,18_24,0.0
107,65_inf,0.0
108,18_24,0.0
109,45_54,0.0
110,55_64,0.0
111,45_54,0.0
113,18_24,1.0
114,45_54,0.0
115,25_34,0.0
116,25_34,
117,45_54,0.0
118,25_34,0.0
120,18_24,0.0
121,18_24,0.0
122,45_54,1.0
123,25_34,0.0
124,18_24,
125,55_64,1.0
127,35_44,1.0
128,18_24,0.0
129,35_44,1.0
131,55_64,0.0
132,18_24,0.0
133,25_34,1.0
134,55_64,0.0
135,18_24,0.0
136,25_34,1.0
137,25_34,0.0
139,35_44,1.0
140,18_24,0.0
141,25_34,1.0
142,45_54,0.0
143,18_24,0.0
144,18_24,0.0
145,55_64,0.0
146,18_24,0.0
147,18_24,0.0
148,55_64,0.0
149,25_34,1.0
150,45_54,1.0
151,55_64,0.0
152,18_24,0.0
153,25_34,0.0
154,18_24,1.0
156,45_54,0.0
157,18_24,0.0
158,35_44,0.0
159,18_24,0.0
160,65_inf,1.0
161,18_24,0.0
162,18_24,1.0
163,18_24,1.0
164,18_24,1.0
166,65_inf,0.0
167,25_34,1.0
168,18_24,0.0
169,18_24,0.0
170,18_24,0.0
172,18_24,0.0
173,18_24,
174,35_44,0.0
175,65_inf,0.0
176,25_34,0.0
178,35_44,
179,18_24,1.0
180,25_34,0.0
181,35_44,1.0
182,18_24,1.0
183,25_34,0.0
184,45_54,0.0
187,25_34,0.0
188,18_24,0.0
189,65_inf,0.0
190,55_64,0.0
191,35_44,0.0
192,45_54,
194,25_34,0.0
195,55_64,0.0
196,18_24,1.0
197,18_24,0.0
198,25_34,0.0
199,25_34,0.0
200,65_inf,0.0
202,55_64,1.0
203,25_34,0.0
204,18_24,0.0
205,18_24,1.0
206,25_34,
208,18_24,0.0
209,35_44,0.0
210,35_44,0.0
211,65_inf,0.0
212,18_24,0.0
213,45_54,0.0
214,18_24,1.0
215,55_64,0.0
216,25_34,1.0
217,25_34,0.0
218,55_64,0.0
219,25_34,1.0
220,18_24,0.0
221,45_54,0.0
222,18_24,1.0
223,18_24,0.0
224,65_inf,1.0
225,18_24,1.0
226,18_24,0.0
227,25_34,0.0
228,18_24,0.0
229,25_34,0.0
230,55_64,0.0
231,18_24,0.0
232,65_inf,1.0
233,18_24,0.0
234,18_24,0.0
235,45_54,1.0
236,45_54,1.0
238,18_24,1.0
239,18_24,0.0
240,55_64,1.0
241,18_24,1.0
242,65_inf,1.0
243,18_24,1.0
244,55_64,0.0
245,25_34,1.0
246,65_inf,0.0
247,65_inf,0.0
248,45_54,1.0
249,18_24,0.0
250,25_34,0.0
251,45_54,1.0
252,55_64,1.0
254,25_34,1.0
256,25_34,1.0
258,18_24,0.0
259,65_inf,1.0
260,55_64,0.0
261,25_34,1.0
262,45_54,0.0
263,25_34,1.0
264,55_64,
265,18_24,1.0
266,55_64,
267,18_24,0.0
268,25_34,1.0
270,18_24,1.0
271,35_44,1.0
273,55_64,0.0
274,55_64,0.0
275,18_24,0.0
276,45_54,0.0
277,18_24,1.0
278,18_24,0.0
279,25_34,0.0
280,25_34,0.0
281,45_54,0.0
283,18_24,0.0
284,65_inf,1.0
285,18_24,0.0
286,55_64,0.0
287,18_24,0.0
288,25_34,0.0
289,65_inf,0.0
290,55_64,1.0
291,45_54,0.0
292,18_24,0.0
293,18_24,1.0
296,45_54,0.0
297,35_44,0.0
298,55_64,1.0
299,18_24,1.0
300,45_54,1.0
301,35_44,0.0
302,18_24,0.0
303,18_24,0.0
305,35_44,0.0
307,65_inf,
308,55_64,0.0
309,18_24,0.0
310,65_inf,0.0
311,18_24,0.0
312,18_24,1.0
313,35_44,0.0
314,18_24,0.0
315,35_44,0.0
316,18_24,1.0
317,25_34,0.0
318,55_64,0.0
319,18_24,0.0
320,18_24,0.0
321,55_64,0.0
322,18_24,0.0
323,35_44,
324,55_64,0.0
326,18_24,0.0
327,45_54,0.0
328,25_34,0.0
329,25_34,1.0
331,18_24,0.0
332,45_54,1.0
333,25_34,0.0
334,18_24,0.0
335,18_24,0.0
336,45_54,0.0
337,35_44,0.0
339,35_44,0.0
340,65_inf,0.0
341,55_64,1.0
342,25_34,0.0
343,18_24,1.0
344,18_24,0.0
345,35_44,0.0
346,35_44,1.0
347,55_64,1.0
348,45_54,0.0
349,65_inf,0.0
350,35_44,0.0
351,35_44,1.0
352,25_34,0.0
353,18_24,0.0
354,18_24,1.0
355,18_24,1.0
356,18_24,0.0
357,35_44,1.0
358,18_24,1.0
359,45_54,0.0
360,18_24,0.0
361,25_34,0.0
362,65_inf,1.0
363,55_64,0.0
364,35_44,0.0
365,25_34,0.0
366,55_64,0.0
367,35_44,0.0
368,25_34,0.0
369,18_24,0.0
371,18_24,0.0
372,25_34,0.0
373,55_64,0.0
374,18_24,0.0
375,18_24,0.0
376,25_34,0.0
377,25_34,1.0
379,35_44,1.0
380,35_44,0.0
382,25_34,
383,18_24,0.0
384,45_54,1.0
385,65_inf,1.0
387,55_64,0.0
388,18_24,0.0
389,25_34,1.0
390,18_24,1.0
391,25_34,0.0
392,18_24,0.0
394,18_24,0.0
395,65_inf,1.0
396,35_44,0.0
397,25_34,0.0
398,35_44,0.0
400,25_34,1.0
401,25_34,0.0
402,18_24,0.0
403,35_44,0.0
405,18_24,0.0
406,18_24,0.0
408,55_64,0.0
409,65_inf,1.0
410,35_44,0.0
411,55_64,0.0
412,45_54,0.0
413,45_54,
415,18_24,1.0
416,25_34,0.0
417,18_24,0.0
419,65_inf,0.0
420,35_44,0.0
421,25_34,1.0
422,35_44,0.0
423,25_34,1.0
424,18_24,0.0
425,55_64,0.0
426,45_54,0.0
427,18_24,0.0
428,25_34,0.0
429,55_64,0.0
430,55_64,0.0
431,25_34,1.0
432,25_34,1.0
433,25_34,0.0
435,45_54,0.0
436,18_24,0.0
437,18_24,0.0
438,45_54,1.0
441,25_34,1.0
444,45_54,1.0
445,18_24,1.0
446,35_44,1.0
447,45_54,0.0
